Entry	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Active	Passive	Virtue	Vice	Ovrst	ECON	POLIT	Role	SocRel	HU	Object	ComForm	IAV	DAV	IndAdj	PowTot	EnlOth	EnlTot
community	X		X	X			X								X	X			X						X		
commuter																	X		X								
companion	X		X	X													X		X								
companionship	X			X																							
company	X		X	X			X								X				X								
comparable																										X	X
comparative																										X	X
comparatively																										X	X
compare										X												X				X	X
comparison										X																X	X
compass																				X							
compassion	X		X	X								X															
compassionate	X		X	X								X															
compatible	X		X	X								X															
compatriot																									X		
compel		X			X	X	X	X		X								X				X			X		
compensate	X		X				X			X												X					
compensation	X		X							X		X			X												
compete		X			X	X	X			X												X			X		
competence	X		X				X					X															
competency	X						X																				
competent	X		X				X					X															
competition		X			X	X				X															X		
competitive		X			X	X				X		X													X		
competitor		X				X												X	X						X		
compile										X												X					X
complain		X			X	X				X											X	X					
complaint		X			X	X				X											X						
complement	X		X																			X					
complementary	X																							X			
complete	X		X				X				X			X								X					
completeness	X		X									X		X													
completion	X		X																								
complex		X			X									X												X	X
complexity		X			X									X												X	X
compliance	X			X														X			X				X		
complicate		X			X																	X					
complication		X			X								X														
complicity		X			X						X		X														
compliment	X			X						X											X	X					
comply											X							X				X			X		
component																				X							
composer																	X		X								
composure	X						X					X															
compound							X															X					
comprehend	X									X																X	X
comprehension	X		X																								X
comprehensive	X													X										X			
compress							X			X												X					
compression							X			X																	
comprise											X											X					
compromise	X		X								X					X		X				X			X		
compulsion		X			X	X	X	X		X																	
compulsory																									X		
compute										X												X					X
computer															X					X						X	X
conceal		X			X	X												X				X				X	X
concede									X		X										X	X			X		
conceit		X				X		X					X														
conceivable											X															X	X
conceive											X											X					X
concentrate							X			X												X					
concentration							X			X																X	X
concept																										X	X
conception											X															X	X
concern		X			X						X				X				X			X				X	X
concert																									X		
concession	X		X						X		X							X							X		
conciliation																									X		
conciliatory																									X		
conclude										X												X					
conclusion										X																	
conclusive	X													X										X			
concrete							X																				
concur	X			X						X											X				X		
condemn		X			X	X	X											X				X					
condemnation		X				X							X														
condensation											X																
condense																						X					
condescending		X				X		X					X														
condescension		X				X		X					X					X									
condition										X	X	X								X		X					
condone	X			X				X		X																	
conducive	X			X																				X			
conduct										X								X				X					
conductor																	X		X								
confederacy																									X		
confederate				X												X	X		X						X		
confederation	X			X														X									
confer	X									X											X	X				X	X
conference															X	X			X							X	X
confess		X			X				X		X										X	X					
confession		X			X				X		X										X						
confidant	X			X													X		X								
confide	X		X	X							X			X							X	X					
confidence	X		X	X			X							X							X						
confident	X		X				X	X						X													
confine		X			X		X	X		X								X				X			X		
confinement		X											X														
confirm							X							X								X					
confirmation							X							X							X						
confiscate		X						X		X												X					
confiscation		X						X					X														
conflict		X			X	X				X	X					X		X			X	X			X		
conform									X		X							X				X			X		
conformist																									X		
conformity									X		X	X													X		
confound		X			X																	X					
confront		X			X	X	X			X								X				X			X		
confrontation		X			X	X	X			X			X			X									X		
confuse		X			X				X		X		X								X	X					X
confusion		X			X				X				X														
congenial	X			X								X															
congested		X																						X			
congestion		X																									
congo															X	X											
congratulate	X			X						X											X	X					
congratulation	X		X	X																	X						
congratulatory	X			X																	X						
congregate	X			X						X												X					
congregation							X												X								
congregational																			X								
congress							X	X								X			X						X		
congressional							X									X			X						X		
congressman							X									X	X		X						X		
congressmen							X	X									X		X						X		
conjunction	X																								X		
conjure	X						X			X												X					
connect	X		X							X												X					
connection										X																	
conquer	X						X	X		X								X				X			X		
conqueror	X						X	X									X	X	X								
conquest	X																								X		
conscience	X		X									X															
conscientious	X		X									X															
conscious																										X	X
consciousness																										X	X
consensus	X			X																	X				X		
consent	X		X				X				X										X		X		X		
consequence											X			X													
consequent											X			X													
conservatism																X									X		
conservative											X				X	X	X		X						X		
conserve	X									X												X					
consider	X		X																			X					
considerable							X							X													
considerate	X											X						X									
consideration	X		X																							X	X
consign	X									X												X					
consist											X											X					
consistency	X		X				X					X															
consistent	X		X				X					X															
consolation																									X		
console	X			X						X												X					
consolidate	X		X				X															X					
conspicuous														X													
conspiracy		X			X	X										X			X						X		
conspirator		X		X														X	X						X		
conspire		X		X						X								X				X					
constable							X	X									X		X						X		
constancy	X																										
constant							X							X													
consternation		X											X														
constituent																									X		
constitute							X				X											X					
constitution							X									X				X					X		
constitutional							X									X											
constrain		X			X	X	X	X										X				X			X		
constraint		X			X		X	X													X				X		
construct							X			X													X				
construction							X			X					X					X							
constructive	X		X				X					X															
construe																						X				X	X
consult	X		X																		X	X				X	X
consultant															X		X		X								X
consultation	X		X																		X					X	X
consume										X													X				
consumer															X		X		X								
consummate	X									X											X	X					
consumption										X					X												
consumptive		X			X		X			X			X														
contact	X		X	X						X											X		X				X
contagious		X																									
contain							X			X													X				
contaminate		X				X				X												X					
contamination		X				X							X														
contemplate											X											X					X
contemplation											X	X														X	X
contempt		X				X							X					X									
contemptible		X				X							X					X						X			
contemptuous		X				X							X					X						X			
contend		X			X	X	X			X												X			X		
content	X		X								X									X		X					
contention							X			X											X				X		
contentment	X																										
contest						X	X	X		X											X	X			X		
continent																									X		
continual							X			X				X													
continue							X			X												X					
continuity	X						X			X																	
continuous							X			X				X													
contract							X				X				X						X	X			X		
contractual																									X		
contradict		X			X	X															X	X					
contradiction		X																			X						
contradictory		X			X									X							X						
contrary		X			X																						
contrast																						X					
contribute	X		X	X			X			X								X				X					
contribution	X		X	X			X			X					X	X											
contributor	X			X													X	X	X								
contrive																									X		
control							X	X	X	X	X	X						X				X			X		
controller							X	X									X		X								
controversial		X			X																X						
controversy		X			X											X					X						
convene	X			X						X												X					
convenience												X															
convenient												X															
convent																									X		
convention																X			X								
conventional												X															
conversation																										X	X
converse																					X	X					X
convert							X			X							X		X			X					
convey										X												X					
convict		X			X	X	X		X	X	X						X	X	X			X					
conviction	X		X				X					X															
convince	X		X				X	X		X											X	X				X	X
convinced								X			X										X	X				X	X
convulse																						X					
cook																	X		X				X				
cookie																				X							
cooky																				X							
cool		X			X						X											X					
coolness		X																									
cooperate	X		X	X			X			X								X				X			X		
cooperation	X		X	X			X			X		X													X		
cooperative	X		X	X			X			X		X			X				X						X		
coordinate	X		X				X	X		X								X				X			X		
coordination	X			X			X					X															
cop							X	X								X	X		X						X		
cope											X																
copper															X					X							
copy										X										X	X		X			X	X
cord																				X							
cordial	X											X															
core							X																				
corn																				X							
corp															X				X						X		
corporal							X	X									X		X								
corporate							X								X	X			X								
corporation							X								X				X								
corps															X	X			X						X		
corpus																				X							
correct	X		X				X					X		X								X					
correction	X																										
correlate																						X					
correspond																					X	X					
correspondence																					X						
correspondent																	X		X								X
corrode		X									X											X					
corrosion		X																									
corrosive		X																									
corrupt		X											X														
corruption		X			X	X							X			X											
cost		X			X										X								X				
costliness		X																									
costly		X			X								X														
costume																				X							
cotton															X					X							
could																									X		
council	X		X				X	X								X			X						X		
counsel	X		X	X				X									X		X		X	X				X	X
counselor																	X		X								
count																							X			X	X
counteract		X			X		X			X												X			X		
counteraction		X			X		X			X															X		
counterbalance																									X		
counterfeit		X											X											X			
countless							X							X													
country															X	X			X						X		
county																X									X		
coup						X																			X		
couple				X															X				X				
courage	X		X				X					X															
courageous	X						X					X												X			
course														X												X	X
court				X			X	X		X						X		X	X			X			X		
courteous	X		X	X								X									X						
courtesy	X		X	X								X															
courtly	X		X									X															
cousin																	X		X								
covenant	X			X																	X						
cover								X		X	X	X						X		X		X					
coverage															X						X						
covert		X											X											X			
covet		X							X		X																
coward		X			X				X		X						X		X								
cozy	X																							X			
crack									X	X													X				
craft															X												
crafty		X											X											X			
cram		X								X												X					
cramp		X								X												X					
cranky		X				X																		X			
crash													X									X					
crass		X				X							X											X			
crave		X							X		X																
crawl		X			X				X	X												X	X				
craze		X											X														
craziness		X											X														
crazy		X			X								X														
cream							X			X										X		X					
create	X		X				X			X												X					
creation							X			X																	
creative	X		X							X		X															
creativity	X		X							X		X															
creator							X			X							X		X								
creature											X																
credentials	X			X																							
credibility	X																										
credible	X																							X			
credit	X		X									X			X						X	X					
credulity																										X	X
credulous		X							X															X			
creep									X	X			X										X				
crept									X	X													X				
crew																			X								
crime		X			X								X			X											
criminal		X			X	X											X		X								
cringe		X									X											X					
cripple		X				X				X												X					
crisis		X			X								X		X	X											
criteria																										X	X
criterion																										X	X
critic		X			X	X											X		X								X
critical														X												X	X
criticize		X			X	X															X	X					
croak		X									X											X					
crook		X											X						X								
crooked		X				X							X											X			
crop						X									X					X			X				
cross		X		X	X	X				X								X	X		X	X	X				
crouch																							X				
crowd							X			X									X			X					
crown								X								X				X			X		X		
crucial														X													
crucifix																				X							
crude		X												X										X			
cruel		X			X	X							X														
cruelty		X			X	X							X														
crumble		X							X		X											X					
crumple		X							X		X											X					
crusade	X			X																							
crusader	X			X													X		X								
crush		X			X	X	X			X												X			X		
crushing		X				X	X	X																X			
crutch																				X							
cry											X										X		X				
cuba															X	X									X		
cuban															X	X											
cuddle	X									X												X					
culminate	X									X												X					
culmination	X																										
culpable		X																						X			
culprit		X											X						X								
cult																			X								
cultivate	X		X							X		X										X					
cultivation	X																										
cultural																										X	X
culture	X		X									X														X	X
cumbersome		X					X																	X			
cumulative							X																				
cup																				X							
cupid	X																		X								
curb							X	X		X								X		X		X			X		
cure	X		X	X				X														X				X	X
curiosity											X															X	X
curious											X															X	X
curl																							X				
currency															X					X							
curse		X			X	X															X	X					
cursory		X									X		X											X			
curt		X			X	X															X						
curtail		X								X												X					
curtain																				X							
curtsey	X									X								X					X				
custom														X	X	X					X						
customer															X		X		X								
cut		X			X	X	X			X		X										X	X				
cute	X											X												X			
cylinder																				X							
cynical		X			X	X							X														
cynicism		X											X	X										X			
dad																	X		X								
daddy																	X		X								
dagger						X														X							
daily														X													
dairy															X												
damage		X			X	X	X			X			X									X					
damn		X			X	X																					
damnable		X				X							X											X			
damned		X				X							X											X			
dance	X		X							X													X				
dancer																	X		X								
danger		X			X								X	X													
dangerous		X			X								X	X													
dare	X		X																			X					
daring	X		X				X					X												X			
dark		X			X																						
darken		X			X																	X					
darkness		X			X																						
darling	X		X	X								X					X		X					X			
darn		X																									
dash										X				X								X					
data																										X	X
date				X														X				X					
daughter																	X		X								
daunting		X																						X			
dauntless	X						X	X																X			
dawdle		X								X												X					
dawn	X		X																			X	X			X	X
daze		X																									
dazzle	X						X			X												X					
dead		X			X				X		X																
deadlock		X			X	X			X																X		
deadly		X			X	X	X						X														
deadweight		X											X														
deaf		X											X											X			
deafness		X											X														
deal	X	X	X		X	X				X					X	X					X	X			X		
dealer															X		X		X								
dean							X	X									X		X								X
dear	X		X	X								X															
dearth		X							X		X		X														
death		X			X				X		X																
debatable		X												X							X					X	X
debate										X											X	X					
debt									X						X												
debtor		X							X										X								
decadence		X											X	X													
decadent		X											X	X										X			
decay		X			X				X		X												X				
decease		X								X												X					
deceit		X				X							X														
deceitful		X				X							X														
deceive		X			X	X				X			X								X	X				X	X
decency	X		X									X															
decent	X		X									X															
decentralize																									X		
deception		X			X	X				X			X														X
deceptive		X			X	X																					X
decide							X			X				X								X				X	X
decipher	X									X											X	X					
decision							X			X																X	X
decisive							X	X		X		X		X													
deck																				X							
declaration							X														X				X		
declare							X														X	X			X		
decline		X			X				X		X											X					
decompose		X									X											X					
decorate	X									X												X					
decoration	X																			X							
decorative	X																							X			
decrease		X			X				X		X												X				
decree																									X		
dedicate	X		X				X					X										X					
dedication	X		X				X					X															
deduce	X									X												X					
deduct										X												X					
deem											X											X					
deep							X					X		X													
deepen							X			X												X					
defame		X								X											X	X					
default		X								X												X					
defeat		X			X	X	X			X			X			X						X			X		
defect		X			X				X				X														
defective		X			X				X				X														
defence																									X		
defend	X		X	X			X			X								X				X			X		
defendant		X							X								X		X								
defender	X		X	X			X			X							X		X								
defense	X		X	X			X			X						X		X							X		
defensive		X			X	X			X		X							X							X		
defer											X							X				X					
deference	X																										
defiance		X				X	X						X												X		
defiant		X				X	X						X														
deficiency		X			X				X				X														
deficient		X							X				X											X			
deficit		X			X				X				X		X												
defile		X				X				X												X					
define																						X					X
definite							X							X													
definitive	X						X																	X			
defy		X			X	X	X			X								X				X			X		
degenerate		X			X				X		X		X	X													
degrade		X				X				X											X	X					
degree																					X					X	X
dejected		X							X															X			
delay		X			X				X		X											X					
delegate								X									X		X						X		
delegation								X								X			X						X		
deliberate							X			X											X	X					
deliberation																											X
delicacy	X													X													
delicate	X		X						X																		
delight	X		X																			X					
delightful	X		X																								
delinquency		X							X				X														
delinquent		X							X				X											X			
delirium		X							X				X	X													
deliver							X			X												X					
delivery							X			X																	
delude																											X
deluge		X					X	X						X													
delusion		X							X				X													X	X
demand							X	X		X		X	X								X	X			X		
demean		X				X		X		X												X					
demise		X			X				X		X																
democracy												X				X									X		
democrat																X	X		X						X		
democratic																X			X						X		
demolish		X			X	X	X			X												X					
demon		X				X							X														
demonstrate							X			X											X	X				X	X
demonstration							X			X						X										X	X
demoralize		X			X	X	X											X				X					
denial		X			X	X															X						
denominational																			X								
denote																						X				X	X
denounce		X				X		X		X											X	X					
dense							X																				
density							X																				
dent		X								X													X				
dentist																	X		X								
deny		X			X	X															X	X					
depart										X													X				
department															X	X			X						X		
departure										X																	
depend									X		X							X				X			X		
dependability	X		X				X					X		X													
dependable	X		X				X					X		X													
dependence									X		X		X												X		
dependency																									X		
dependent		X							X		X																
depict																					X	X					X
deplete		X																				X					
deplorable		X			X								X											X			
deplore		X			X	X					X										X	X					
deploy							X	X		X								X				X			X		
depose		X				X		X		X											X	X					
deposition										X											X				X		
depraved		X											X											X			
depreciate		X			X				X		X											X					
depreciation		X			X						X				X												
depress		X			X				X		X		X									X					
depression		X			X				X				X														
deprive		X			X	X	X	X		X								X				X					
depth							X																				
deputy																X	X		X						X		
deride		X				X				X											X	X					
derision		X				X							X														
derisive		X											X											X			
derive										X												X					
derogatory		X				X		X													X			X			
descend									X														X				
describe																					X					X	X
description																										X	X
descriptive																										X	X
descry	X									X												X					
desegregation																X									X		
desert		X			X	X			X		X							X					X		X		
desertion		X		X									X	X													
deserve	X		X	X														X				X					
deservedly	X						X																				
design										X												X					
designate							X	X		X								X				X			X		
designer																	X		X								
desirable	X		X									X															
desire		X			X						X	X															
desirous	X																							X			
desk																				X					X		
desolate		X			X				X				X														
desolation		X						X					X														
despair		X			X				X		X																
desperate		X			X				X																		
desperation		X																									
despicable		X											X											X			
despise		X			X	X	X						X														
despot																									X		
despotism																									X		
destiny							X																				
destitute		X							X															X			
destroy		X			X	X	X			X												X			X		
destroyer																				X					X		
destruction		X			X	X		X		X			X														
destructive		X			X	X	X			X			X												X		
detachment		X											X	X													
detail																										X	X
detain		X						X		X												X					
detect										X												X					X
detection										X																	X
detective										X							X		X						X		
deter		X			X		X	X		X								X				X			X		
determination							X	X		X				X											X		
determine							X	X		X				X								X					
deterred																									X		
deterrent		X			X	X	X																		X		
detest		X				X				X																	
detestable		X											X											X			
detract		X								X												X					
detrimental		X			X		X						X											X			
devastate		X			X	X	X			X												X					
devastation		X				X							X														
develop							X			X												X					
development							X			X																	
deviate		X								X												X					
deviation		X																									
device																				X							
devil		X			X	X											X		X								
devilish		X				X																		X			
devious		X				X																		X			
devise																						X					
devoid		X			X				X																		
devolve																									X		
devote	X		X							X												X					
devotion	X		X	X							X																
devout	X			X			X																	X			
dexterity	X						X																				
diabolic		X				X																		X			
diabolical		X				X																		X			
diagnosis																											X
dialect																					X						
dialogue																					X						X
dice																				X							
dictate		X		X				X		X												X					
dictator							X	X								X	X		X						X		
dictatorial		X		X				X		X																	
dictatorship							X									X									X		
diction																					X						
dictionary																				X						X	X
did																						X					
die																							X				
diet																						X					
differ		X			X					X												X			X		
different																									X		
differentiate																										X	X
difficult		X			X								X														
difficulty		X			X								X														
dig	X		X							X												X	X				X
digital																					X						
dignified	X						X	X																X			
dignify	X									X											X	X					
dignity	X		X				X					X															
dilemma		X			X								X														
diligent	X		X				X			X		X															
dim		X			X																	X					
dimension																										X	X
diminish									X		X												X				
din		X					X														X						
dinner																				X							
dip										X													X				
diplomacy								X								X									X		
diplomatic								X								X					X				X		
dipper																				X							
dire		X							X				X											X			
direct							X	X		X				X				X				X					X
direction								X													X						X
director							X	X							X		X		X						X		
dirt		X			X															X							
dirty		X			X								X														
disable		X								X												X					
disadvantage		X			X				X				X														
disadvantageous		X			X				X				X														
disagree					X	X															X	X			X		
disagreeable		X			X	X																			X		
disagreement		X			X	X															X				X		
disappear											X												X				
disappearance											X																
disappoint		X			X						X		X									X					
disappointment		X			X						X																
disapproval		X											X														
disapprove		X			X	X															X	X					
disarm		X								X												X					
disarmament				X						X						X									X		
disaster		X			X				X				X														
disastrous		X			X				X				X														
disavow		X			X	X															X	X					
disavowal		X			X	X															X						
disbelief		X			X	X																					
disc																				X							
discard										X												X					
discern	X									X												X					
discernible											X															X	X
discharge		X			X		X	X		X								X				X			X		
disciple				X							X						X		X								
discipline							X	X		X	X	X						X				X					
disclaim		X			X																X	X					
disclose																					X	X					X
disclosure																											X
discomfort		X			X																						
disconcerted		X			X				X		X																
discontent		X			X				X		X																
discontinue																						X					
discord		X			X	X			X				X												X		
discordant		X				X															X			X			
discount											X				X							X					
discourage		X			X	X				X	X											X					
discouragement		X							X				X														
discourse																					X					X	X
discover																						X					X
discovery																										X	X
discredit		X				X				X											X	X					
discreet	X		X									X															
discrepant		X				X															X			X			
discretion	X		X									X															
discriminate		X								X												X					
discrimination						X							X		X	X											
discuss	X		X																		X	X				X	X
discussion																					X					X	X
disdain		X						X					X														
disease		X			X								X														
diseased		X							X				X											X			
disgrace		X							X				X														
disguise		X																		X							
disgust		X			X	X			X		X											X					
dish																				X		X					
dishearten		X							X															X			
dishonest		X							X												X						
dishonor		X							X	X												X					
disingenuous		X							X												X						
disinterest		X											X														
dislike		X			X	X					X												X				
dismal		X			X				X				X														
dismiss		X			X	X		X		X								X				X			X		
disobedience		X				X							X														
disobedient		X				X							X														
disorder		X			X				X				X												X		
disorganized		X			X				X		X		X											X			
dispel		X						X		X											X	X			X		
dispensability		X							X																		
dispense		X						X		X												X					
disperse										X													X				
displace		X						X		X												X			X		
displacement							X			X															X		
display																					X		X				X
displease		X							X		X											X					
displeasure		X			X	X			X		X																
disposal		X			X																				X		
dispose		X			X	X	X			X												X			X		
disposition											X																
disproportionate		X																						X			
disprove		X			X					X												X				X	X
disputable		X			X	X							X												X		
dispute		X			X	X				X						X					X	X			X		
disregard		X								X												X				X	X
disrupt		X				X				X												X					
disruption		X				X							X														
dissatisfaction		X											X														
dissatisfied		X				X																		X			
dissatisfy		X							X													X					
dissemination																											X
dissent		X		X		X							X														
dissention		X		X		X							X														
dissolution		X		X																							
dissolve							X			X												X					
distinct	X		X											X												X	X
distinction	X		X																							X	X
distinctive	X		X																							X	X
distingiush																											X
distinguish	X		X					X				X										X					X
distinguished	X						X	X																X			
distort		X			X	X															X	X					X
distortion		X																									
distract		X								X												X					X
distracting		X												X										X			
distraction		X											X	X													
distress		X			X				X		X											X					
distribute										X												X					
distribution										X					X												
distributor															X		X		X								
distrust						X																					
distrustful		X																									
disturb		X			X	X				X	X		X								X	X					
disturbance		X			X	X				X			X														
disunion																									X		
disunity																									X		
ditch						X																X					
dive										X													X				
diver										X							X		X								
diversion		X												X													
divert		X								X												X					
divide		X			X		X		X	X	X												X		X		
divine	X		X				X					X										X					
divinity	X		X				X					X															
division		X			X				X							X			X						X		
divorce		X			X	X				X			X					X					X				
dizzy		X																						X			
do							X			X				X								X	X				
doctor				X													X	X	X			X					
doctrine																X									X		
document																				X							
doer										X							X		X								
dogma																									X		
dogmatism																									X		
doldrums		X											X														
doll																				X							
dollar															X	X				X							
dolly																				X							
domestic															X	X									X		
dominance	X							X																			
dominant							X	X					X	X		X									X		
dominate		X			X		X	X		X								X				X			X		
domination		X			X		X	X		X			X		X	X									X		
dominican															X	X											
dominion																									X		
donate	X									X													X				
donation	X																										
done							X																X				
doom		X			X				X		X		X									X					
doomsday		X																									
doorway																				X							
dope		X											X						X								
dote	X									X												X					
double		X			X	X	X			X			X								X	X	X				
doubt		X			X						X	X		X							X						
doubtful		X			X				X				X											X			
doubtless	X		X				X					X		X													
downcast		X																						X			
downfall		X																									
downhearted		X																						X			
dr																	X		X								
drab		X											X											X			
draft								X								X						X					
drag		X			X	X				X													X				
drain																				X			X				
drank										X													X				
draw							X	X		X								X		X	X	X	X		X		
dread		X									X																
dreadful		X			X				X		X		X	X													
dream											X												X				
dreamer											X						X		X								
dreamland	X																										
dreamt											X												X				
dreary		X											X											X			
dress										X										X			X				
dresser																				X							
drew																							X				
drift											X											X					
drifter											X						X		X								
drill										X										X		X					
drink										X										X			X				
drinker																	X		X								
drip																							X				
drive		X			X	X	X	X		X								X				X	X		X		
driven																						X					
driver										X							X		X								
drizzle																							X				
droop		X							X		X												X				
drop		X			X				X	X	X									X			X				
drought		X																									
drove								X		X									X				X				
drown		X			X				X		X												X				
drowsiness		X									X																
drowsy		X									X													X			
drug																				X							
drum																				X							
drunk		X			X				X		X		X				X		X				X				
drunkard		X							X				X						X								
drunken		X							X		X		X											X			
dry																							X				
dryer																				X							
dubious		X			X								X														
duct																				X							
due												X		X	X						X					X	X
dull		X			X				X		X															X	X
dumb		X			X				X		X										X						
dump		X			X	X				X												X					
dunce		X											X						X								
dungeon		X																									
duplication										X																	
durability	X						X																				
durable	X		X				X																				
dust																				X							
duty		X			X		X					X															
dwell											X												X				
dwindle		X																				X					
dying		X			X				X		X													X			
dynamic	X		X				X			X		X															
dynasty																									X		
each														X													
eager	X		X				X																				
eagerness	X																										
ear																				X		X					
earn							X			X					X							X					
earner							X										X		X								
earnest	X		X				X																				
earnestness	X																				X						
earth												X		X													
ease	X		X																			X					
east-germany																									X		
east-west																									X		
eastern-europe																									X		
easterner																	X		X								
easy	X		X									X															
eat										X													X				
eater																	X		X								
eccentric		X												X										X			
eccentricity		X												X													
echo																							X				
economic															X	X											
economical												X			X												
economize	X									X												X					
economy															X	X											
ecstasy	X																										
ecstatic	X																							X			
ecumenical																X											
edge		X			X				X			X										X					
edible	X																							X			
edinburgh															X	X											
edition																				X							
editor							X	X									X		X								X
editorial																X					X					X	X
educate							X	X		X											X	X					X
educated	X		X					X				X									X	X				X	X
education	X		X																							X	X
educational	X		X																							X	X
educator																											X
effect							X	X		X	X			X						X		X			X		
effective	X		X				X			X		X															
effectiveness	X		X				X			X		X															
efficacy	X		X				X			X		X															
efficiency	X		X				X					X															
efficient	X		X				X					X															
effort										X																	
egg																				X							
ego																	X		X								
egotistical		X				X		X					X											X			
either														X													
elaborate	X									X											X	X					
elaboration	X																				X						
elapse											X											X					
elastic									X																		
elasticity									X																		
elate	X																										
elder							X	X								X	X		X								
elderly									X																		
elect								X		X						X		X					X		X		
election								X		X						X									X		
elector																									X		
electoral								X								X			X						X		
electric																				X							
electron																				X							
electronic																				X							
elegance	X											X															
elegant	X		X									X															
elevate							X			X													X				
elevator																				X							
eligible												X													X		
eliminate		X			X		X			X												X			X		
elimination		X			X		X			X															X		
elite								X							X	X			X						X		
elitism																									X		
eloquent	X		X									X												X			
else														X													
emancipation							X	X				X				X									X		
embarrass		X								X												X					
embarrassment		X							X				X														
embassy								X								X									X		
embellish	X									X											X	X					
embrace	X		X	X						X								X			X	X					
emerge										X												X			X		
emergency		X			X								X														
eminence	X						X	X						X													
eminent	X		X				X	X				X															
emissary																									X		
emotion											X																
emotional											X																
empathy	X																										
emperor							X	X								X	X		X						X		
emphasis							X							X													
emphasize							X							X							X	X					
emphatic							X			X				X							X						
empire																									X		
employ							X	X										X				X					
employee									X						X		X		X								
employer							X	X							X		X		X								
employment															X	X											
empower	X						X	X		X												X			X		
empowerment	X						X	X																			
empty		X			X				X	X													X				
enable	X		X				X															X					
enact							X			X												X			X		
enactment							X			X															X		
enchant	X		X	X								X						X				X					
enchantment	X																										
enclose							X			X												X					
encompass							X															X					
encounter				X														X			X	X			X		
encourage	X		X	X						X		X						X				X			X		
encouragement	X		X	X						X		X													X		
encroach		X						X														X					
encroachment		X						X																	X		
end										X	X									X			X				
endanger		X			X	X												X				X					
endear	X			X						X												X					
endeavor										X												X					
endless							X																				
endorse	X		X	X			X	X													X	X			X		
endow	X									X													X				
endurance	X						X							X													
endure							X				X			X								X					
enemy		X			X	X										X	X		X						X		
energetic	X		X				X			X																	
energize	X						X			X												X					
energy							X																				
enforce		X			X	X	X	X		X								X				X			X		
enforcement							X	X																	X		
engage	X		X	X						X								X				X			X		
engagement																					X				X		
engine																				X							
engineer																	X		X								
england															X	X											
english															X	X					X						
engulf		X			X	X	X			X				X								X					
enhance	X		X				X															X					
enhancement	X													X													
enjoy	X		X								X																
enjoyable	X		X									X															
enjoyment	X		X								X	X															
enlighten	X		X									X										X					X
enlightenment	X																									X	X
enlist																									X		
enlistment																									X		
enormous							X							X													
enough														X													
enrage		X				X																X					
enrich	X						X			X												X					
enrichment	X						X																				
enroll										X								X					X				
enrollment																					X						
ensemble	X																		X								
enslave		X						X														X					
ensure	X		X				X	X						X				X				X					
entangle		X						X														X					
entanglement		X				X																					
enter										X													X				
enterprise							X			X					X				X								
entertain	X		X	X						X								X			X	X					
entertainment	X		X																								
enthusiasm	X		X	X																							
enthusiastic	X		X	X			X																	X			
entire							X							X													
entitle							X	X										X				X					
entity											X																
entrance										X										X							
entreat		X							X									X				X					
entrepreneurial	X																							X			
entrust	X									X												X					
entry																				X							
enunciate																										X	X
envious		X											X														
envisage																										X	X
envision	X									X												X					
envoy																									X		
envy		X											X														
epidemic		X																									
epithet		X			X	X															X						
equal							X										X		X				X		X		
equality	X		X									X				X											
equate																										X	X
equation																										X	X
equilibrium							X																				
equip							X			X												X					
equipment																				X							
equitable	X		X									X															
equity	X		X												X						X						
equivocal		X			X				X				X														
era														X													
eradicate		X						X		X												X					
erase		X								X													X				
erect							X			X												X					
erode		X									X												X				
erosion		X																									
err		X							X	X												X					
erroneous		X							X															X			
error		X			X								X														
escape						X	X			X												X			X		
esoteric		X		X				X																X			
especially														X													
essay																					X						
essence							X							X													
essential	X		X				X					X		X													
establish	X		X				X	X		X		X		X								X					
establishment														X	X	X			X						X		
estate															X												
esteem	X																										
estimate																					X	X					
estrange																									X		
estranged		X																X									
estrangement																									X		
etc														X													
eternal							X							X													
ethical	X		X									X															
ethics	X		X																								
ethnic																X											
etiquette	X																										
etrans																									X	X	X
europe															X	X									X		
european															X	X									X		
evade		X								X												X					
evaluate										X												X					X
evaluation										X		X															X
evasion		X																									
even	X	X	X		X	X								X				X				X					
eventual														X													
ever							X							X													
everlasting	X						X																	X			
every							X							X													
everybody														X													
everyone														X													
everything														X													
everywhere														X													
evict		X						X														X					
evidence							X			X											X	X				X	X
evident											X			X													
evidently											X																
evil		X			X								X														
evolution											X																
evolve											X											X					
exact	X		X				X	X		X		X		X				X				X					
exaggerate														X							X	X					X
exaggeration		X												X							X						
exalt	X										X							X				X					
exam																					X					X	X
examination										X																X	X
examine								X		X								X				X					X
examiner								X									X		X						X		
example																										X	X
exasperate		X																				X					
exasperation		X																									
exceed							X			X				X								X					
