Entry	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Active	Passive	Virtue	Vice	Ovrst	ECON	POLIT	Role	SocRel	HU	Object	ComForm	IAV	DAV	IndAdj	PowTot	EnlOth	EnlTot
allowable	X																										
allowance	X																										
allure	X											X															
allusion																					X						
ally	X		X	X			X									X	X	X	X			X			X		
almighty	X						X	X				X												X			
almost														X													
alone									X					X													
along				X														X			X	X			X		
aloof		X									X																
alter							X			X												X					
altercation		X				X												X									
alternate										X												X					
altogether														X													
altruistic	X			X								X															
aluminum															X					X							
always														X													
amateur									X								X		X								
amaze														X								X					
amazement	X						X	X																			
amazing	X						X	X						X										X			
ambassador								X								X	X		X						X		
ambiguity		X			X																						
ambiguous		X			X																						
ambition							X	X				X			X	X									X		
ambitious							X	X		X		X													X		
ambivalent		X			X				X																		
ambush		X			X	X	X			X								X				X			X		
ameliorate	X		X	X						X								X				X					
amenable	X			X								X												X			
amend										X												X			X		
amendment																X					X				X		
amenity	X																			X							
america															X	X											
american															X	X											
amiability	X			X								X															
amiable	X			X								X															
amicable	X			X								X															
amiss		X			X								X														
ammunition																				X					X		
amnesty	X							X																			
amount																						X					
amour	X																										
ample	X		X				X																				
amplify	X						X			X													X				
amply	X						X																				
amputate		X								X												X					
amuse	X									X												X					
amusement	X																										
analogy																										X	X
analysis										X																X	X
analyst																											X
analytic										X																X	X
analytical										X																X	X
analyze										X												X					X
anarchist		X				X													X								
anarchy		X				X								X											X		
ancestor																	X		X								
anchor							X													X		X					
ancient									X																		
anecdote																					X						
angel	X			X								X					X		X								
angelic	X			X								X												X			
anger		X			X	X				X												X					
angry		X			X	X				X																	
anguish		X			X	X					X																
animation										X																	
animosity		X				X							X					X									
annals																										X	X
annihilate		X				X				X												X					
annihilation		X				X							X														
announce																					X		X				X
announcement																					X						X
annoy		X				X				X								X				X					
annoyance		X			X	X																					
anoint	X			X						X													X				
anomalous		X																									
anomaly		X																									
anonymous																					X						
answer										X											X	X				X	X
antagonism		X			X	X	X			X																	
antagonist		X				X												X	X								
antagonistic		X			X	X	X			X																	
antagonize		X			X	X	X			X												X					
antarctica																									X		
anti-social		X											X	X				X									
anti-trust															X	X											
anticipate											X																
anticipation											X																
antipathy		X											X														
antiquated		X							X																		
antitrust		X		X																				X			
anxiety		X			X				X		X																
anxious		X			X				X		X																
anxiousness		X			X				X		X																
any														X													
anybody														X													
anyone														X													
anything														X													
anywhere														X													
apart									X																		
apartment																				X							
apathetic		X							X		X													X			
apathy		X							X		X		X														
apocalypse	X																										
apologetic									X									X									
apologize									X									X				X					
apology				X					X												X						
appall		X			X								X								X	X					
apparatus																				X							
appeal	X		X	X							X							X			X	X					
appear											X											X	X				
appearance											X																
appease	X									X												X			X		
appeasement																									X		
append	X									X													X				
applaud	X									X											X		X				
applause	X		X																		X						
applicant																	X		X								
application																					X						
apply										X											X	X	X				
appoint	X		X					X		X								X					X		X		
appointment										X															X		
appraisal								X																		X	X
appraise																										X	
appreciable	X		X				X							X													
appreciate	X		X	X							X																
appreciation	X		X	X							X																
appreciative	X																	X									
apprehend	X									X													X				
apprehension		X			X		X			X																	
apprehensive		X							X		X																
approach	X		X							X	X											X				X	X
appropriate	X		X				X	X				X		X				X				X					
appropriation								X							X						X						
approval	X		X	X																	X						
approve	X		X	X			X					X									X	X					
apt	X		X				X					X		X													
aptitude	X						X					X															
arab																									X		
arbiter	X			X													X	X	X		X						
arbitrary		X			X								X														
arbitrate	X			X						X								X			X	X			X		
arbitration	X			X														X			X				X		
arbitrator																									X		
arch																				X			X				
architect																	X		X								
ardent	X			X			X	X																X			
arduous		X											X											X			
argue		X			X	X				X											X	X			X	X	X
argument		X			X	X				X											X				X	X	X
arise							X			X												X					
arisen	X																							X			
aristocracy	X							X									X		X								
aristocrat	X							X									X		X								
aristocratic	X							X																X			
arm						X	X	X		X						X		X		X		X			X		
armament																									X		
armed						X	X	X		X								X		X		X			X		
armistice				X												X									X		
army							X	X								X			X						X		
arose							X			X												X					
arrange								X		X											X	X			X		
arrangement										X															X		
arrest	X	X	X		X	X	X	X		X		X		X									X		X		
arrival										X																	
arrive										X													X				
arrogance		X						X					X														
arrogant		X			X		X						X														
arrow						X														X							
arsenal																									X		
art	X		X																	X						X	X
article																				X					X		
articulate							X			X											X						X
artificial		X			X								X														
artist																	X		X								
ascend							X			X													X		X		
ascendancy																									X		
ascendant																									X		
ascent							X			X																	
ascertain										X				X								X					X
ascertainment										X				X												X	X
ascribe	X			X						X												X					X
ash																				X							
ashamed		X			X				X		X																
asia															X	X									X		
ask										X											X		X			X	X
asleep									X		X																
aspect																										X	X
aspiration	X																										
aspire	X									X																	
assail		X			X	X	X			X								X				X					
assailant		X				X													X								
assassin		X				X													X								
assassinate		X				X				X												X					
assassination																									X		
assault		X			X	X	X			X			X					X				X			X		
assemble										X													X		X		
assembly																			X						X		
assent	X			X																	X				X		
assert							X	X		X											X	X			X		
assertion	X						X														X						
assertive																									X		
assess																										X	X
assessment															X											X	X
assessor								X							X		X		X								
asset	X			X			X																				
assign								X		X											X		X		X		
assignment										X											X				X		
assimilate											X											X					
assist	X		X	X			X			X		X						X				X			X		
assistance	X		X	X			X			X		X													X		
assistant	X		X							X							X		X								
associate	X		X							X	X				X		X		X			X			X	X	X
association	X		X	X			X			X									X						X	X	X
assume								X			X							X				X				X	X
assumption											X															X	X
assurance	X		X	X			X							X							X						
assure	X		X				X	X						X							X	X					
assuredly	X		X				X	X						X													
assuredness												X		X													
astonish														X								X					
astound	X						X	X		X				X													
astray		X							X		X																
astronomical														X													
astute	X											X												X			
asunder		X							X		X													X			
ate										X													X				
athletic	X		X				X					X															
atlantic															X	X									X		
atlas																				X							
atom															X	X				X							
atomic							X								X	X				X							
atrocious		X			X								X	X										X			
atrophy		X			X				X		X											X					
attach										X													X				
attachment	X			X														X									
attack		X			X	X	X			X			X			X		X				X			X		
attacker						X											X		X						X		
attain	X		X				X			X												X					
attainment	X		X				X			X																	
attempt										X												X					
attend	X		X							X												X				X	X
attendance	X									X																	
attendant										X							X		X								
attention											X																
attentive	X		X								X																
attest											X										X	X					X
attic																				X							
attitude																										X	X
attorney								X							X	X	X		X						X		
attract	X		X	X			X											X				X					
attraction	X		X	X			X																				
attractive	X		X									X															
attractiveness	X																										
attribute																						X					
attune	X																							X			
auction															X												
audacious		X					X						X	X										X			
audacity		X					X						X	X													
audible	X						X														X			X			
audience																			X								
auditor								X							X		X		X								
augment	X		X							X												X					
augmentation	X																										
aunt																	X		X								
auspicious	X																							X			
austere		X				X	X																	X			
authentic	X		X									X		X													
authenticity	X		X									X		X													
author																	X		X								X
authoritarian							X	X								X	X		X								
authoritative	X						X	X				X		X											X		
authority	X						X	X																	X		X
authorize							X	X		X											X	X			X		
auto																				X							
autocrat		X					X	X											X								
autocratic		X					X	X																			
automatic																				X							
automobile																				X							
automotive																				X							
autonomous	X						X	X																			
autonomy												X				X									X		
avail							X				X											X					
availability	X		X									X															
available												X															
avarice		X											X														
avaricious		X											X														
avenge		X			X	X	X			X			X												X		
average									X													X					
aversion		X				X					X																
avert		X				X			X		X							X				X					
avid	X													X										X			
avoid		X			X	X			X		X							X				X					
avoidance		X			X	X			X		X							X									
avowal																										X	X
await											X											X					
awake																							X				
award	X		X				X	X		X											X	X					
aware	X						X				X													X		X	X
awareness	X		X				X				X															X	X
away														X								X					
awful		X			X		X						X	X													
awkward		X			X				X				X														
awkwardness		X							X				X														
ax		X						X		X												X					
axe							X													X							
axle																				X							
babble		X								X											X		X				
baby				X					X			X					X		X								
bachelor																	X		X								
back	X		X	X			X	X		X								X				X			X		
backbone	X						X	X																			
backer	X		X				X										X		X						X		
backing	X			X																							
backward		X			X				X						X												
backwardness		X			X				X				X		X												
bacon																				X							
bad		X			X								X	X													
badly		X			X								X	X													
baffle		X			X																	X					X
bafflement		X			X																						X
bag																				X		X					
bail		X							X	X												X					
bait		X								X											X	X					
bake																							X				
baker																	X		X								
balance							X																X		X		
bale																				X							
balk		X							X		X											X					
ball	X		X				X					X								X							
ballistic																X				X					X		
balloon																				X							
ballot								X								X									X		
balmy	X																							X			
ban																									X		
banal		X											X											X			
band				X			X											X	X			X			X		
bandit		X				X													X								
bane		X							X		X		X														
banish		X			X	X	X	X		X								X				X			X		
banishment		X		X				X										X									
bank															X				X			X	X				
banker															X		X		X								
bankrupt		X											X											X			
bankruptcy		X											X														
banquet				X																							
banter									X												X	X					
baptism	X			X																							
baptize	X			X						X													X				
bar		X			X	X	X	X		X								X	X	X			X		X		
barbarian		X				X							X						X								
barbarous		X				X							X											X			
barber																	X		X								
bard																	X		X								
bargain	X									X								X			X	X					
bark																					X		X				
barrel																				X							
barren		X							X		X													X			
barrier		X																		X					X		
base							X															X					
basement																				X							
bashful		X							X		X																
basic	X		X									X		X													
basis														X													
basket																				X							
bastard		X			X	X											X		X								
bat																							X				
bath																				X							
bathe																							X				
bathroom																				X			X				
